current_time,total_messages,attack_messages,normal_messages,total_detections,attacks_detected,detection_rate,flooding_detected,spoofing_detected,injection_detected,exploitation_detected,misinformation_detected,resource_drain_detected,avg_confidence,avg_processing_time
30,34,0,34,394,224,224,0,0,0,224,0,0,0.661206788117266,0.255665482233502
60,66,2,64,1125,486,243,2,0,0,484,0,0,0.618027585219313,0.219154133333333
90,91,2,89,1864,770,385,10,0,0,760,0,0,0.609237860187469,0.223883369098712
120,121,4,117,2319,926,231.5,22,0,0,904,0,0,0.605041274728256,0.233269210866753
150,150,4,146,3008,1174,293.5,24,0,0,1150,0,0,0.600984305458085,0.244692819148936
180,177,6,171,3567,1377,229.5,38,0,0,1339,0,0,0.599146774010667,0.256013484721054
210,201,6,195,4186,1594,265.666666666667,38,0,0,1556,0,0,0.597244618307438,0.271531127568084
240,227,8,219,4709,1786,223.25,52,0,0,1734,0,0,0.59697943966989,0.284363091951582
270,257,10,247,5340,2020,202,53,0,0,1967,0,0,0.596389899572037,0.297545131086142
300,284,10,274,5965,2246,224.6,66,0,0,2180,0,0,0.596158335885285,0.313146186085499
330,319,12,307,6505,2431,202.583333333333,72,0,0,2359,0,0,0.595455789261639,0.32593715603382
360,342,12,330,7133,2624,218.666666666667,80,0,0,2544,0,0,0.594171380673719,0.341439520538343
390,374,14,360,7772,2839,202.785714285714,93,0,0,2746,0,0,0.593652872070942,0.356648455995882
420,408,14,394,8436,3040,217.142857142857,95,0,0,2945,0,0,0.592284721948334,0.371268717401612
450,434,16,418,9050,3279,204.9375,110,0,0,3169,0,0,0.592902611362781,0.386382629834254
480,468,17,451,9672,3481,204.764705882353,110,0,0,3371,0,0,0.592109638707167,0.402701344086021
510,498,18,480,10233,3710,206.111111111111,123,0,0,3587,0,0,0.59283298592392,0.417334848040653
540,530,20,510,10947,3962,198.1,124,0,0,3838,0,0,0.592687736206971,0.43489463780031
570,557,20,537,11357,4138,206.9,137,0,0,4001,0,0,0.593409921668673,0.444699066654926
600,571,22,549,11838,4330,196.818181818182,142,0,0,4188,0,0,0.59351182418651,0.455801621895591
