message_id,is_attack,attack_type,confidence,threat_level,processing_time_ms,detector_id,timestamp
MSG_000001,0,NORMAL,0.95,0,145.8604,8,10
MSG_000001,0,NORMAL,0.95,0,60.7824,1,15
MSG_000001,0,NORMAL,0.95,0,62.8009,7,15
MSG_000001,0,NORMAL,0.6,0,60.5051,9,15
MSG_000002,0,NORMAL,0.95,0,79.1869,12,15
MSG_000002,0,NORMAL,0.95,0,54.185,14,15
MSG_000002,0,NORMAL,0.95,0,51.7286,15,15
MSG_000001,0,NORMAL,0.95,0,55.9262,2,15
MSG_000001,0,NORMAL,0.6,0,56.5942,5,20
MSG_000001,0,NORMAL,0.95,0,53.7405,11,20
MSG_000003,0,NORMAL,0.95,0,59.5604,2,20
MSG_000003,0,NORMAL,0.6,0,53.891,7,20
MSG_000003,0,NORMAL,0.95,0,51.447,8,20
MSG_000003,0,NORMAL,0.95,0,54.1373,1,25
MSG_000003,0,NORMAL,0.6,0,52.6886,9,25
MSG_000003,0,NORMAL,0.6,0,52.0652,5,30
MSG_000003,0,NORMAL,0.95,0,53.8899,11,30
MSG_000004,0,NORMAL,0.95,0,50.7643,2,30
MSG_000004,0,NORMAL,0.6,0,53.1705,7,30
MSG_000004,0,NORMAL,0.95,0,53.2719,8,30
MSG_000001,0,NORMAL,0.95,0,58.3007,8,35
MSG_000004,0,NORMAL,0.95,0,52.3282,1,35
MSG_000004,0,NORMAL,0.6,0,49.9875,9,35
MSG_000004,0,NORMAL,0.6,0,49.5904,5,40
MSG_000004,0,NORMAL,0.95,0,51.7207,11,40
MSG_000001,0,NORMAL,0.95,0,50.5432,1,40
MSG_000001,0,NORMAL,0.6,0,48.8435,9,40
MSG_000006,1,SPOOFING,0.85,3,48.4504,13,40
MSG_000006,1,SPOOFING,0.85,3,48.4997,15,40
MSG_000001,0,NORMAL,0.95,0,50.939,2,40
MSG_000001,0,NORMAL,0.6,0,50.6558,7,40
MSG_000007,0,NORMAL,0.95,0,48.1871,2,40
MSG_000007,0,NORMAL,0.95,0,52.0426,8,40
MSG_000001,0,NORMAL,0.95,0,49.6887,11,45
MSG_000003,0,NORMAL,0.95,0,48.2979,7,45
MSG_000003,0,NORMAL,0.95,0,49.452,8,45
MSG_000007,0,NORMAL,0.95,0,48.9035,1,45
MSG_000007,0,NORMAL,0.95,0,48.6522,7,45
MSG_000008,0,NORMAL,0.95,0,49.1661,1,45
MSG_000008,0,NORMAL,0.95,0,51.9595,8,45
MSG_000001,0,NORMAL,0.6,0,49.2338,5,45
MSG_000006,1,SPOOFING,0.85,3,49.2655,12,45
MSG_000006,1,SPOOFING,0.85,3,47.6808,14,45
MSG_000003,0,NORMAL,0.95,0,47.7172,2,45
MSG_000009,0,NORMAL,0.95,0,46.1384,2,45
MSG_000009,0,NORMAL,0.6,0,48.4349,7,45
MSG_000009,0,NORMAL,0.95,0,47.3083,8,45
MSG_000007,0,NORMAL,0.95,0,49.8842,9,50
MSG_000007,0,NORMAL,0.95,0,47.4609,11,50
MSG_000008,0,NORMAL,0.95,0,46.9251,5,50
MSG_000008,0,NORMAL,0.95,0,47.6742,7,50
MSG_000008,0,NORMAL,0.95,0,46.4432,11,50
MSG_000003,0,NORMAL,0.95,0,46.9434,1,50
MSG_000009,0,NORMAL,0.95,0,49.9789,1,50
MSG_000003,0,NORMAL,0.6,0,48.6011,9,50
MSG_000009,0,NORMAL,0.6,0,62.5903,9,50
MSG_000008,0,NORMAL,0.95,0,55.8443,2,50
MSG_000003,0,NORMAL,0.6,0,48.4526,5,55
