message_id,is_attack,attack_type,confidence,threat_level,processing_time_ms,detector_id,timestamp
MSG_000002,0,NORMAL,0.438483059227253,0,14.5444,8,15
MSG_000002,1,EXPLOITATION,0.764596280162505,4,2.2986,13,15
MSG_000003,0,NORMAL,0.553593332614332,0,2.2221,3,15
MSG_000003,1,EXPLOITATION,0.74730781479169,4,1.2839,5,15
MSG_000004,1,EXPLOITATION,0.725411935618119,4,10.9705,5,15
MSG_000004,0,NORMAL,0.473396461471986,0,0.5887,10,15
MSG_000005,0,NORMAL,0.524882453808588,0,0.5113,4,15
MSG_000007,0,NORMAL,0.442833279624853,0,0.8141,7,15
MSG_000010,0,NORMAL,0.350596878464728,0,0.2178,2,15
MSG_000010,0,NORMAL,0.551104148883936,0,0.1906,4,15
MSG_000011,0,NORMAL,0.422840818059575,0,0.161,2,15
MSG_000011,0,NORMAL,0.47323772040794,0,0.1377,3,15
MSG_000011,0,NORMAL,0.417875801913899,0,0.1392,14,15
MSG_000013,1,EXPLOITATION,0.933107442154361,4,0.1837,6,15
MSG_000013,1,EXPLOITATION,0.835189844672489,4,0.3686,14,15
MSG_000013,1,EXPLOITATION,0.677363591785489,4,0.2151,15,15
MSG_000014,1,EXPLOITATION,0.925786890609392,4,0.164,6,15
MSG_000014,1,EXPLOITATION,0.909349779800775,4,0.1458,7,15
MSG_000014,1,EXPLOITATION,0.839592949933135,4,0.1363,10,15
MSG_000015,1,EXPLOITATION,0.881822657637646,4,0.208,5,15
MSG_000015,1,EXPLOITATION,0.756354169331661,4,0.1483,10,15
MSG_000017,1,EXPLOITATION,0.774537945780945,4,0.1606,2,15
MSG_000017,1,EXPLOITATION,0.859738680491849,4,0.1676,4,15
MSG_000018,1,EXPLOITATION,0.925656349963291,4,0.1417,2,15
MSG_000018,1,EXPLOITATION,0.860580589699619,4,0.1456,3,15
MSG_000018,1,EXPLOITATION,0.798805500810114,4,0.1351,14,15
MSG_000002,0,NORMAL,0.447875201014069,0,0.6102,8,16
MSG_000002,1,EXPLOITATION,0.736067624423165,4,0.1641,13,16
MSG_000003,0,NORMAL,0.48497716766371,0,0.1741,3,16
MSG_000003,1,EXPLOITATION,0.882089659637707,4,0.1415,5,16
MSG_000004,1,EXPLOITATION,0.711581546061618,4,0.141,5,16
MSG_000004,0,NORMAL,0.495826849174142,0,0.1309,10,16
MSG_000005,0,NORMAL,0.528847999508451,0,0.1896,4,16
MSG_000007,1,EXPLOITATION,0.670658134121184,4,0.446,5,16
MSG_000007,0,NORMAL,0.507956982896922,0,0.1725,7,16
MSG_000010,0,NORMAL,0.434832558782228,0,0.1539,2,16
MSG_000010,0,NORMAL,0.540905097816683,0,0.24,4,16
MSG_000011,0,NORMAL,0.437797718898383,0,0.2303,2,16
MSG_000011,0,NORMAL,0.392916895016577,0,0.1346,3,16
MSG_000013,1,EXPLOITATION,0.900686666876158,4,0.1309,6,16
MSG_000013,1,EXPLOITATION,0.824704365100122,4,0.1406,14,16
MSG_000013,1,EXPLOITATION,0.831600760485626,4,0.1216,15,16
MSG_000014,1,EXPLOITATION,0.850653034241636,4,0.122,6,16
MSG_000014,1,EXPLOITATION,0.856661872781627,4,0.1192,7,16
MSG_000014,1,EXPLOITATION,0.874908288404228,4,0.1386,10,16
MSG_000015,1,EXPLOITATION,0.933724365748431,4,0.1482,5,16
MSG_000015,1,EXPLOITATION,0.973288096733122,4,0.1393,10,16
MSG_000017,1,EXPLOITATION,0.848187059244852,4,0.4627,2,16
MSG_000017,1,EXPLOITATION,0.774827302019454,4,0.158,4,16
MSG_000018,1,EXPLOITATION,0.824383756147758,4,0.1598,2,16
MSG_000018,1,EXPLOITATION,0.890824691228775,4,0.1344,3,16
MSG_000018,1,EXPLOITATION,0.791232868949125,4,0.124,14,16
MSG_000002,0,NORMAL,0.542987606919353,0,0.335,8,17
MSG_000002,1,EXPLOITATION,0.775272099195743,4,0.1554,13,17
MSG_000003,0,NORMAL,0.546763121200717,0,0.1509,3,17
MSG_000004,1,EXPLOITATION,0.708254639328046,4,0.1422,5,17
MSG_000004,0,NORMAL,0.478154486524682,0,0.1609,10,17
MSG_000005,0,NORMAL,0.396930061062957,0,0.1982,4,17
MSG_000007,1,EXPLOITATION,0.755083186607834,4,0.142,5,17
MSG_000007,0,NORMAL,0.540496864619145,0,0.132,7,17
MSG_000010,0,NORMAL,0.5316662978667,0,0.1637,2,17
MSG_000010,0,NORMAL,0.532351722750117,0,0.1291,4,17
MSG_000011,0,NORMAL,0.482558346095679,0,0.1316,2,17
MSG_000011,0,NORMAL,0.493479372943076,0,0.1333,3,17
MSG_000011,0,NORMAL,0.483064961306484,0,0.1265,14,17
